Case:,Screen,start,end,duration
Helen,110,0.001041667,0.00150463,0.000462963
,220,0.00150463,0.001712963,0.000208333
,110,0.001712963,0.001956019,0.000243056
Subject:,220,0.001956019,0.002118056,0.000162037
Jon,17,0.002118056,0.002349537,0.000231481
,105,0.002349537,0.002430556,8.10185E-05
,110,0.002430556,0.002592593,0.000162037
,2,0.002592593,0.002789352,0.000196759
,110,0.002789352,0.002835648,4.62963E-05
,9,0.002835648,0.003009259,0.000173611
,113,0.003009259,0.003055556,4.62963E-05
,160,0.003055556,0.003101852,4.62963E-05
,134,0.003101852,0.003252315,0.000150463
,23,0.003252315,0.003645833,0.000393519
,2,0.003645833,0.003946759,0.000300926
,10,0.003946759,0.004571759,0.000625
,6,0.004571759,0.004733796,0.000162037
,2,0.004733796,0.00474537,1.15741E-05
,221,0.00474537,0.004861111,0.000115741
,209,0.004861111,0.005046296,0.000185185
,2,0.005046296,0.005219907,0.000173611
,221,0.005219907,0.005266204,4.62963E-05
,1,0.005266204,0.005775463,0.000509259
,221,0.005775463,0.005972222,0.000196759
,110,0.005972222,0.006030093,5.78704E-05
,17,0.006030093,0.006087963,5.78704E-05
,10,0.006087963,0.006261574,0.000173611
